진단명,ICD코드,ADRG,ADRG명,MDC,계열,DRG코드
기타 부위의 정맥류,I86,F691,Varicose Vein F69100 중증도 구분 없음,05,,F69100
기타 부위의 정맥류,I86,G503,Gastroscopy for Major Digestive Diseases,06,S,"G50300, G50301, G50302, G50303"
기타 부위의 정맥류,I86,G523,Colonoscopy for Major Digestive Diseases,06,S,"G52300, G52301, G52302, G52303"
기타 부위의 정맥류,I86,M630,Other Male Reproductive System Diseases M63000 중증도 구분 없음,12,,M63000
기타 부위의 정맥류,I86,N620,Menstrual and Other Female Reproductive N62003 W Catastrophic CC,13,,"N62000, N62001, N62002, N62003"
기타 부위의 정맥류,I86,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
기타 부위의 정맥류,I86,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
기타 부위의 정맥류,I86,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
기타 및 부위불명 소화기관의 악성 신생물,C26,D602,"Ear, Nose, Mouth and Throat Malignancy D60203 W Catastrophic CC",11,,"D60200, D60201, D60202, D60203"
기타 및 부위불명 소화기관의 악성 신생물,C26,D603,"Ear, Nose, Mouth and Throat Malignancy D60303 W Catastrophic CC",03,,"D60300, D60301, D60302, D60303"
기타 및 부위불명 소화기관의 악성 신생물,C26,G041,"Rectal Resection, Transanal or Transsacral Approach for Malignancy",06,S,"G04100, G04101"
기타 및 부위불명 소화기관의 악성 신생물,C26,G503,Gastroscopy for Major Digestive Diseases,06,S,"G50300, G50301, G50302, G50303"
기타 및 부위불명 소화기관의 악성 신생물,C26,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
기타 및 부위불명 소화기관의 악성 신생물,C26,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
기타 및 부위불명 소화기관의 악성 신생물,C26,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
골 및 관절연골의 양성 신생물,D16,A091,"Tracheostomy for Face, Mouth and Neck Disorders with Long-Term Ventilator",Pre,S,
골 및 관절연골의 양성 신생물,D16,E671,Respiratory Neoplasm with Radiation E67103 W Catastrophic CC,15,,"E67100, E67101, E67102, E67103"
골 및 관절연골의 양성 신생물,D16,I141,"Hip and Femur Procedures, Bilateral or Multiple",08,S,"I14100, I14101, I14102"
골 및 관절연골의 양성 신생물,D16,I187,Other Shoulder Procedures,08,S,"I18700, I18701"
골 및 관절연골의 양성 신생물,D16,I211,Foot and Ankle Tendon and Ligament Procedures,08,S,I21100
골 및 관절연골의 양성 신생물,D16,I760,"Other Musculoskeletal Diseases, Age ≤18 I76011 W Catastrophic or Severe CC",08,,"I76010, I76011, I76020, I76021, I76022"
골 및 관절연골의 양성 신생물,D16,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
골 및 관절연골의 양성 신생물,D16,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
골 및 관절연골의 양성 신생물,D16,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
골 및 관절연골의 양성 신생물,D16,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
골 및 관절연골의 양성 신생물,D16,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
골 및 관절연골의 양성 신생물,D16,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
골 및 관절연골의 양성 신생물,D16,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
고환염 및 부고환염,N45,M620,Inflammation of the Male Reproductive M62003 W Catastrophic CC,12,,"M62000, M62001, M62002, M62003"
기타 및 상세불명 부위의 양성 신생물,D36,G601,Digestive Malignancy with Radiation G60103 W Catastrophic CC,06,,"G60100, G60101, G60102, G60103"
기타 및 상세불명 부위의 양성 신생물,D36,H621,Malignancy of Liver with Radiation Therapy H62102 W Catastrophic CC,15,,"H62100, H62101, H62102"
기타 및 상세불명 부위의 양성 신생물,D36,I760,"Other Musculoskeletal Diseases, Age ≤18 I76011 W Catastrophic or Severe CC",08,,"I76010, I76011, I76020, I76021, I76022"
기타 및 상세불명 부위의 양성 신생물,D36,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
기타 및 상세불명 부위의 양성 신생물,D36,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
기타 및 상세불명 부위의 양성 신생물,D36,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
기타 및 상세불명 부위의 양성 신생물,D36,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
윤활막 및 힘줄의 기타 장애,M67,I141,"Hip and Femur Procedures, Bilateral or Multiple",08,S,"I14100, I14101, I14102"
윤활막 및 힘줄의 기타 장애,M67,I142,"Hip and Femur Procedures, Unilateral",08,S,"I14210, I14211, I14220, I14221"
윤활막 및 힘줄의 기타 장애,M67,I160,"Humerus, Tibia, and Fibula Procedures",08,S,"I16010, I16020, I16021, I16022"
윤활막 및 힘줄의 기타 장애,M67,I187,Other Shoulder Procedures,08,S,"I18700, I18701"
윤활막 및 힘줄의 기타 장애,M67,I194,Other Knee Joint Procedures,08,S,"I19400, I19401, I19402, I19403"
윤활막 및 힘줄의 기타 장애,M67,I200,Elbow and Forearm Procedures,08,S,"I20000, I20001, I20002"
윤활막 및 힘줄의 기타 장애,M67,I211,Foot and Ankle Tendon and Ligament Procedures,08,S,I21100
윤활막 및 힘줄의 기타 장애,M67,I212,Ankle Osteochondral Lesion Procedures,08,S,"I21200, I21201"
윤활막 및 힘줄의 기타 장애,M67,I213,Other Foot and Ankle Procedures,08,S,"I21300, I21301, I21302"
윤활막 및 힘줄의 기타 장애,M67,I251,Major Wrist and Hand Procedures,08,S,"I25100, I25101, I25102"
윤활막 및 힘줄의 기타 장애,M67,I252,Minor Wrist and Hand Procedures,08,S,"I25200, I25201, I25202, I25203"
윤활막 및 힘줄의 기타 장애,M67,I722,"Noninfectious Tendinitis, Myositis and I72211 W Catastrophic or Severe or Moderate",08,,"I72210, I72211, I72220, I72221, I72222, I72223"
기타 및 상세불명 부위의 이차성 악성 신생물,C79,B091,CNS Stereotactic Procedures in Brain Tumor and Other Creation of Lesion,01,S,"B09100, B09101"
기타 및 상세불명 부위의 이차성 악성 신생물,C79,B631,Nervous System Neoplasm with Radiation B63110 중증도 구분 없음,08,,"B63110, B63120, B63121"
기타 및 상세불명 부위의 이차성 악성 신생물,C79,B633,Nervous System Neoplasm without B63311 W Catastrophic or Severe CC,15,,"B63310, B63311, B63320, B63321, B63322, B63323"
기타 및 상세불명 부위의 이차성 악성 신생물,C79,I651,"Connective Tissue Malignancy, Including I65102 W Catastrophic CC",08,,"I65100, I65101, I65102"
기타 및 상세불명 부위의 이차성 악성 신생물,C79,I653,"Connective Tissue Malignancy, Including I65311 W Catastrophic or Severe or Moderate CC",08,,"I65310, I65311, I65320, I65321, I65322, I65323"
기타 및 상세불명 부위의 이차성 악성 신생물,C79,J061,Radical Mastectomy,09,S,"J06100, J06101, J06102"
기타 및 상세불명 부위의 이차성 악성 신생물,C79,J631,Malignant Breast Diseases with Radiation J63103 W Catastrophic CC,08,,"J63100, J63101, J63102, J63103"
기타 및 상세불명 부위의 이차성 악성 신생물,C79,K683,Adrenal Malignancy K68301 W Catastrophic CC,10,,"K68300, K68301"
기타 및 상세불명 부위의 이차성 악성 신생물,C79,L631,Kidney and Urinary Tract Neoplasms with L63100 중증도 구분 없음,11,,L63100
기타 및 상세불명 부위의 이차성 악성 신생물,C79,M101,Other Male Reproductive System Procedures for Malignancy,12,S,"M10100, M10101"
기타 및 상세불명 부위의 이차성 악성 신생물,C79,N041,Laparoscopic Ovarian and Adnexa Procedures for Malignancy,13,S,"N04100, N04101, N04102"
기타 및 상세불명 부위의 이차성 악성 신생물,C79,N072,"Open Cervix, Vagina and Vulva Procedures for Malignancy",13,S,"N07200, N07201"
기타 및 상세불명 부위의 이차성 악성 신생물,C79,N170,Radioimplantation for Malignancy,13,S,"N17000, N17001"
기타 및 상세불명 부위의 이차성 악성 신생물,C79,N602,Malignant Neoplasms of Female N60203 W Catastrophic CC,15,,"N60200, N60201, N60202, N60203"
기타 및 상세불명 부위의 이차성 악성 신생물,C79,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
기타 및 상세불명 부위의 이차성 악성 신생물,C79,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
기타 및 상세불명 부위의 이차성 악성 신생물,C79,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
기타 및 상세불명 부위의 이차성 악성 신생물,C79,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
기타 및 상세불명 부위의 이차성 악성 신생물,C79,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
기타 및 상세불명 부위의 이차성 악성 신생물,C79,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
기타 및 상세불명 부위의 이차성 악성 신생물,C79,R010,Lymphoma and Leukemia with Major OR Procedures,17,S,"R01000, R01001"
기타 및 상세불명 부위의 이차성 악성 신생물,C79,R612,Lymphoma R61203 W Catastrophic CC,10,,"R61200, R61201, R61202, R61203"
하부요로의 결석,N21,L650,Urinary Stones and Obstruction L65003 W Catastrophic CC,11,,"L65000, L65001, L65002, L65003"
기타 특정 관절장애,M24,I141,"Hip and Femur Procedures, Bilateral or Multiple",08,S,"I14100, I14101, I14102"
기타 특정 관절장애,M24,I142,"Hip and Femur Procedures, Unilateral",08,S,"I14210, I14211, I14220, I14221"
기타 특정 관절장애,M24,I187,Other Shoulder Procedures,08,S,"I18700, I18701"
기타 특정 관절장애,M24,I194,Other Knee Joint Procedures,08,S,"I19400, I19401, I19402, I19403"
기타 특정 관절장애,M24,I200,Elbow and Forearm Procedures,08,S,"I20000, I20001, I20002"
기타 특정 관절장애,M24,I211,Foot and Ankle Tendon and Ligament Procedures,08,S,I21100
기타 특정 관절장애,M24,I212,Ankle Osteochondral Lesion Procedures,08,S,"I21200, I21201"
기타 특정 관절장애,M24,I213,Other Foot and Ankle Procedures,08,S,"I21300, I21301, I21302"
기타 특정 관절장애,M24,I251,Major Wrist and Hand Procedures,08,S,"I25100, I25101, I25102"
기타 특정 관절장애,M24,I252,Minor Wrist and Hand Procedures,08,S,"I25200, I25201, I25202, I25203"
기타 특정 관절장애,M24,I695,Gout and Specific Arthropathies I69503 W Catastrophic CC,08,,"I69500, I69501, I69502, I69503"
기타 특정 관절장애,M24,I696,,08,,"I69600, I69601, I69602"
기타 특정 관절장애,M24,I710,Musculotendinous Disorders I71003 W Catastrophic CC,08,,"I71000, I71001, I71002, I71003"
기타 특정 관절장애,M24,I722,"Noninfectious Tendinitis, Myositis and I72211 W Catastrophic or Severe or Moderate",08,,"I72210, I72211, I72220, I72221, I72222, I72223"
기타 특정 관절장애,M24,I740,"Injuries to Forearm, Wrist, Hand and Foot, I74010 중증도 구분 없음",05,,"I74010, I74020, I74021"
기타 특정 관절장애,M24,I750,"Injuries to Shoulder, Arm, Elbow, Knee, I75010 중증도 구분 없음",08,,"I75010, I75020, I75021, I75022, I75023"
기타 특정 관절장애,M24,I760,"Other Musculoskeletal Diseases, Age ≤18 I76011 W Catastrophic or Severe CC",08,,"I76010, I76011, I76020, I76021, I76022"
자궁체부의 악성 신생물,C54,N011,Laparoscopic Uterus Procedures for Malignancy,13,S,"N01100, N01101"
자궁체부의 악성 신생물,C54,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
자궁체부의 악성 신생물,C54,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
단핵구성 백혈병,C93,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
단핵구성 백혈병,C93,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
단핵구성 백혈병,C93,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
구역 및 구토,R11,G673,Other Gastrointestinal Symptoms G67302 W Catastrophic CC,06,,"G67300, G67301, G67302"
골수형성이상증후군,D46,I653,"Connective Tissue Malignancy, Including I65311 W Catastrophic or Severe or Moderate CC",08,,"I65310, I65311, I65320, I65321, I65322, I65323"
골수형성이상증후군,D46,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
골수형성이상증후군,D46,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
골수형성이상증후군,D46,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
골수형성이상증후군,D46,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
골수형성이상증후군,D46,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
골수형성이상증후군,D46,R010,Lymphoma and Leukemia with Major OR Procedures,17,S,"R01000, R01001"
골수형성이상증후군,D46,R030,Lymphoma and Leukemia with Other OR Procedures,17,S,"R03000, R03001, R03002"
상세불명의 혈뇨,R31,L661,Kidney and Urinary Tract Signs and L66100 중증도 구분 없음,11,,L66100
아래다리의 표재성 손상,S80,I750,"Injuries to Shoulder, Arm, Elbow, Knee, I75010 중증도 구분 없음",08,,"I75010, I75020, I75021, I75022, I75023"
아래다리의 표재성 손상,S80,J660,"Trauma to Skin, Subcutaneous Tissue and J66011 W Catastrophic or Severe or Moderate",04,,"J66010, J66011, J66020, J66021, J66022, J66023"
아래다리의 표재성 손상,S80,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
아래다리의 표재성 손상,S80,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
아래다리의 표재성 손상,S80,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
아래다리의 표재성 손상,S80,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
아래다리의 표재성 손상,S80,W600,"Multiple Trauma, Transferred to Another W60000 중증도 구분 없음",21-1,,W60000
아래다리의 표재성 손상,S80,W610,Multiple Trauma without Procedures W61002 W Catastrophic CC,21-1,,"W61000, W61001, W61002"
방실차단 및 좌각차단,I44,F652,"Other Cardiac Arrest, Unspecified F65201 W Catastrophic CC",19,,"F65200, F65201"
방실차단 및 좌각차단,I44,F741,Bradycardia F74102 W Catastrophic CC,05,,"F74100, F74101, F74102"
방실차단 및 좌각차단,I44,F750,Other Arrhythmia and Conduction Disorders F75002 W Catastrophic CC,05,,"F75000, F75001, F75002"
방실차단 및 좌각차단,I44,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
방실차단 및 좌각차단,I44,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
방실차단 및 좌각차단,I44,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
방실차단 및 좌각차단,I44,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
방실차단 및 좌각차단,I44,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
방실차단 및 좌각차단,I44,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
이식장치의 조정 및 관리를 위하여 보건서비스와 접하고 있는 사람,Z45,F800,Other Circulatory System Diseases F80003 W Catastrophic CC,05,,"F80000, F80001, F80002, F80003"
이식장치의 조정 및 관리를 위하여 보건서비스와 접하고 있는 사람,Z45,Z640,Other Factors Influencing Health Status Z64002 W Catastrophic CC,23,,"Z64000, Z64001, Z64002"
뇌전증,G40,B012,Simple Cerebral Aneurysm Procedures with Stroke,01,S,B01200
뇌전증,G40,B015,Embolization of Cerebral Aneurysm with Stroke,01,S,"B01500, B01501, B01502"
뇌전증,G40,B017,Combined Procedures in Cerebral Aneurysm with Stroke,01,S,B01700
뇌전증,G40,B018,Combined Procedures in Embolization of Cerebral Aneurysm with Stroke,01,S,"B01800, B01801"
뇌전증,G40,B021,Intracranial Vascular Procedures with Stroke,01,S,"B02100, B02101, B02102"
뇌전증,G40,B023,Embolization of Central Nervous System B02301 W Catastrophic CC,15,,"B02300, B02301"
뇌전증,G40,B041,Extracranial Vascular Procedures with Stroke,01,S,"B04100, B04101"
뇌전증,G40,B670,Transient Cerebral Ischemic Attack B67003 W Catastrophic CC,01,,"B67000, B67001, B67002, B67003"
뇌전증,G40,B681,Intracerebral Hemorrhage B68102 W Catastrophic or Severe CC,11,,"B68100, B68101, B68102"
뇌전증,G40,B682,Subarachnoid Hemorrhage B68203 W Catastrophic CC,01,,"B68200, B68201, B68202, B68203"
뇌전증,G40,B685,Acute Severe Ischemic Stroke B68503 W Catastrophic CC,01,,"B68500, B68501, B68502, B68503"
뇌전증,G40,B686,Other Ischemic or Non-Hemorrhagic Stroke B68602 W Catastrophic or Severe CC,01,,"B68600, B68601, B68602"
뇌전증,G40,B771,Status Epilepticus B77102 W Catastrophic CC,01,,"B77100, B77101, B77102"
뇌전증,G40,B773,"Other Seizure, Age ≤18 B77312 W Catastrophic CC",01,,"B77310, B77311, B77312, B77320, B77321, B77322, B77323"
섬유모세포장애,M72,I141,"Hip and Femur Procedures, Bilateral or Multiple",08,S,"I14100, I14101, I14102"
섬유모세포장애,M72,I142,"Hip and Femur Procedures, Unilateral",08,S,"I14210, I14211, I14220, I14221"
섬유모세포장애,M72,I160,"Humerus, Tibia, and Fibula Procedures",08,S,"I16010, I16020, I16021, I16022"
섬유모세포장애,M72,I187,Other Shoulder Procedures,08,S,"I18700, I18701"
섬유모세포장애,M72,I200,Elbow and Forearm Procedures,08,S,"I20000, I20001, I20002"
섬유모세포장애,M72,I211,Foot and Ankle Tendon and Ligament Procedures,08,S,I21100
섬유모세포장애,M72,I213,Other Foot and Ankle Procedures,08,S,"I21300, I21301, I21302"
섬유모세포장애,M72,I251,Major Wrist and Hand Procedures,08,S,"I25100, I25101, I25102"
섬유모세포장애,M72,I252,Minor Wrist and Hand Procedures,08,S,"I25200, I25201, I25202, I25203"
섬유모세포장애,M72,I721,"Infectious Tendinitis, Myositis and Bursitis I72102 W Catastrophic CC",08,,"I72100, I72101, I72102"
섬유모세포장애,M72,I722,"Noninfectious Tendinitis, Myositis and I72211 W Catastrophic or Severe or Moderate",08,,"I72210, I72211, I72220, I72221, I72222, I72223"
섬유모세포장애,M72,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
섬유모세포장애,M72,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
섬유모세포장애,M72,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
섬유모세포장애,M72,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
섬유모세포장애,M72,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
섬유모세포장애,M72,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
섬유모세포장애,M72,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
기타 관절증,M19,I141,"Hip and Femur Procedures, Bilateral or Multiple",08,S,"I14100, I14101, I14102"
기타 관절증,M19,I142,"Hip and Femur Procedures, Unilateral",08,S,"I14210, I14211, I14220, I14221"
기타 관절증,M19,I187,Other Shoulder Procedures,08,S,"I18700, I18701"
기타 관절증,M19,I194,Other Knee Joint Procedures,08,S,"I19400, I19401, I19402, I19403"
기타 관절증,M19,I200,Elbow and Forearm Procedures,08,S,"I20000, I20001, I20002"
기타 관절증,M19,I211,Foot and Ankle Tendon and Ligament Procedures,08,S,I21100
기타 관절증,M19,I212,Ankle Osteochondral Lesion Procedures,08,S,"I21200, I21201"
기타 관절증,M19,I213,Other Foot and Ankle Procedures,08,S,"I21300, I21301, I21302"
기타 관절증,M19,I251,Major Wrist and Hand Procedures,08,S,"I25100, I25101, I25102"
기타 관절증,M19,I252,Minor Wrist and Hand Procedures,08,S,"I25200, I25201, I25202, I25203"
기타 관절증,M19,I694,Osteoarthritis I69400 중증도 구분 없음,08,,I69400
기타 관절증,M19,I696,,08,,"I69600, I69601, I69602"
기타 관절증,M19,I760,"Other Musculoskeletal Diseases, Age ≤18 I76011 W Catastrophic or Severe CC",08,,"I76010, I76011, I76020, I76021, I76022"
달리 분류되지 않은 기타 연조직장애,M79,B718,Neuropathic Pain and Autonomic Nerve B71803 W Catastrophic CC,07,,"B71800, B71801, B71802, B71803"
달리 분류되지 않은 기타 연조직장애,M79,I141,"Hip and Femur Procedures, Bilateral or Multiple",08,S,"I14100, I14101, I14102"
달리 분류되지 않은 기타 연조직장애,M79,I142,"Hip and Femur Procedures, Unilateral",08,S,"I14210, I14211, I14220, I14221"
달리 분류되지 않은 기타 연조직장애,M79,I160,"Humerus, Tibia, and Fibula Procedures",08,S,"I16010, I16020, I16021, I16022"
달리 분류되지 않은 기타 연조직장애,M79,I187,Other Shoulder Procedures,08,S,"I18700, I18701"
달리 분류되지 않은 기타 연조직장애,M79,I194,Other Knee Joint Procedures,08,S,"I19400, I19401, I19402, I19403"
달리 분류되지 않은 기타 연조직장애,M79,I200,Elbow and Forearm Procedures,08,S,"I20000, I20001, I20002"
달리 분류되지 않은 기타 연조직장애,M79,I211,Foot and Ankle Tendon and Ligament Procedures,08,S,I21100
달리 분류되지 않은 기타 연조직장애,M79,I213,Other Foot and Ankle Procedures,08,S,"I21300, I21301, I21302"
달리 분류되지 않은 기타 연조직장애,M79,I251,Major Wrist and Hand Procedures,08,S,"I25100, I25101, I25102"
달리 분류되지 않은 기타 연조직장애,M79,I252,Minor Wrist and Hand Procedures,08,S,"I25200, I25201, I25202, I25203"
달리 분류되지 않은 기타 연조직장애,M79,I696,,08,,"I69600, I69601, I69602"
달리 분류되지 않은 기타 연조직장애,M79,I710,Musculotendinous Disorders I71003 W Catastrophic CC,08,,"I71000, I71001, I71002, I71003"
달리 분류되지 않은 기타 연조직장애,M79,I760,"Other Musculoskeletal Diseases, Age ≤18 I76011 W Catastrophic or Severe CC",08,,"I76010, I76011, I76020, I76021, I76022"
달리 분류되지 않은 기타 연조직장애,M79,J690,Other Moderate Skin Diseases J69003 W Catastrophic CC,09,,"J69000, J69001, J69002, J69003"
달리 분류되지 않은 기타 연조직장애,M79,J700,Other Minor Skin Diseases J70003 W Catastrophic CC,09,,"J70000, J70001, J70002, J70003"
달리 분류되지 않은 기타 연조직장애,M79,S640,Other HIV S64001 W Catastrophic CC,18-1,,"S64000, S64001"
병적 골절을 동반한 골다공증,M80,I141,"Hip and Femur Procedures, Bilateral or Multiple",08,S,"I14100, I14101, I14102"
병적 골절을 동반한 골다공증,M80,I142,"Hip and Femur Procedures, Unilateral",08,S,"I14210, I14211, I14220, I14221"
병적 골절을 동반한 골다공증,M80,I160,"Humerus, Tibia, and Fibula Procedures",08,S,"I16010, I16020, I16021, I16022"
병적 골절을 동반한 골다공증,M80,I187,Other Shoulder Procedures,08,S,"I18700, I18701"
병적 골절을 동반한 골다공증,M80,I200,Elbow and Forearm Procedures,08,S,"I20000, I20001, I20002"
병적 골절을 동반한 골다공증,M80,I211,Foot and Ankle Tendon and Ligament Procedures,08,S,I21100
병적 골절을 동반한 골다공증,M80,I213,Other Foot and Ankle Procedures,08,S,"I21300, I21301, I21302"
병적 골절을 동반한 골다공증,M80,I251,Major Wrist and Hand Procedures,08,S,"I25100, I25101, I25102"
병적 골절을 동반한 골다공증,M80,I252,Minor Wrist and Hand Procedures,08,S,"I25200, I25201, I25202, I25203"
병적 골절을 동반한 골다공증,M80,I696,,08,,"I69600, I69601, I69602"
비특이성 림프절염,I88,G660,Abdominal Pain or Mesenteric Adenitis G66003 W Catastrophic CC,06,,"G66000, G66001, G66002, G66003"
비특이성 림프절염,I88,Q600,"Leukocytes and Blood-Forming Organs, Q60013 W Catastrophic CC",16,,"Q60010, Q60011, Q60012, Q60013, Q60020, Q60021, Q60022, Q60023"
기타 비감염성 위장염 및 결장염,K52,G671,"Enteritis, Age ≤18 G67113 W Catastrophic CC",06,,"G67110, G67111, G67112, G67113, G67120, G67121, G67122, G67123, G67130, G67131, G67132, G67133"
기타 비감염성 위장염 및 결장염,K52,G688,Other Major Digestive system Diseases G68801 W Catastrophic CC,06,,"G68800, G68801"
달리 분류되지 않은 정신작용제에 의한 중독,T43,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
달리 분류되지 않은 정신작용제에 의한 중독,T43,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
달리 분류되지 않은 정신작용제에 의한 중독,T43,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
달리 분류되지 않은 정신작용제에 의한 중독,T43,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
달리 분류되지 않은 정신작용제에 의한 중독,T43,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
달리 분류되지 않은 정신작용제에 의한 중독,T43,X620,"Poisoning, Toxic Effects of Drugs and X62011 W Catastrophic or Severe CC",21-2,,"X62010, X62011, X62020, X62021, X62022, X62023"
폐색전증,I26,E600,Pulmonary Embolism E60002 W Catastrophic CC,04,,"E60000, E60001, E60002"
폐색전증,I26,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
폐색전증,I26,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
폐색전증,I26,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
기타 외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람,Z48,Z620,Follow-Up Care after Completed Treatment Z62000 중증도 구분 없음,23,,Z62000
기타 외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람,Z48,Z630,Other Follow-Up Care Z63000 중증도 구분 없음,23,,Z63000
기타 및 상세불명의 원인에 의한 수막염,G03,B734,Non-Specific Meningitis B73401 W Catastrophic CC,01,,"B73400, B73401"
기타 및 상세불명의 원인에 의한 수막염,G03,B735,Other Nervous System Infection except B73501 W Catastrophic CC,01,,"B73500, B73501"
기타 및 상세불명의 원인에 의한 수막염,G03,S610,HIV-Related Central Nerve System S61000 중증도 구분 없음,18-1,,S61000
기타 및 상세불명 부위의 제자리암종,D09,C630,"Other Diseases of the Eye, Age ≤18 C63011 W Catastrophic or Severe or Moderate",02,,"C63010, C63011, C63020, C63021, C63022, C63023"
기타 및 상세불명 부위의 제자리암종,D09,L631,Kidney and Urinary Tract Neoplasms with L63100 중증도 구분 없음,11,,L63100
기타 및 상세불명 부위의 제자리암종,D09,R650,Other Neoplastic Diseases R65003 W Catastrophic CC,17,,"R65000, R65001, R65002, R65003"
음식 및 수액 섭취에 관계된 증상 및 징후,R63,K630,"Other Metabolic Disorders, Age ≤18 K63010 중증도 구분 없음",10,,"K63010, K63020, K63021, K63022, K63023"
기타 형태의 마이코박테리아에 의한 감염,A31,E610,Respiratory Tuberculosis E61003 W Catastrophic CC,04,,"E61000, E61001, E61002, E61003"
기타 형태의 마이코박테리아에 의한 감염,A31,J690,Other Moderate Skin Diseases J69003 W Catastrophic CC,09,,"J69000, J69001, J69002, J69003"
